event_id,visitor_id,search_guid,opening_uid,position,event_ts,collector_ts,is_bot,time_to_click_secs
CLK_0642dc5628ae44a5,123.248.62.77.8669199898066131,5AC8316E-69A8-4261-9BF4-61D73CB0BCAB,~253620329726030318,6,2024-01-15T18:44:05.000+0000,2024-01-15T18:44:07.000+0000,False,8
CLK_0702db2815ee4377,75.120.235.84.9719996549726992,1C318462-5337-485F-B4E4-CD901B757976,~743274789430450381,7,2024-01-15T00:57:04.000+0000,2024-01-15T00:57:09.000+0000,False,10
CLK_8963feb3ef5d4de5,85.227.59.238.7015160388825155,877A7B7F-59D3-4602-8579-38C32B2C693C,~632054008047310927,3,2024-01-15T11:34:27.000+0000,2024-01-15T11:34:28.000+0000,False,33
CLK_b0a3e16fdf0647c6,200.202.231.190.4677150128525937,BCD9B7BB-E09F-4658-A976-CC7201F29E23,~791106233590490366,2,2024-01-15T17:04:22.000+0000,2024-01-15T17:04:23.000+0000,False,6
CLK_e188f14e78054e5e,182.201.52.140.8257931165554636,D7EADA99-6630-4FE4-88D4-CD6B7E077A8E,~253620329726030318,8,2024-01-15T12:01:09.000+0000,2024-01-15T12:01:13.000+0000,False,18
CLK_7c851d6f142d4a27,89.228.177.67.7484883732092691,9AABF309-7494-4C63-8622-E88170B3E33B,~632054008047310927,2,2024-01-15T18:55:25.000+0000,2024-01-15T18:55:27.000+0000,False,12
CLK_5b4d2c7efbc8472e,146.61.10.143.9555958439458102,4417E943-6550-4A5D-9427-6391A2C0282F,~199818191433716728,9,2024-01-15T07:52:03.000+0000,2024-01-15T07:52:06.000+0000,False,36
CLK_bd529e694eba4294,123.248.62.77.8669199898066131,D3FD819A-565A-439F-897A-FAFE041E9AC3,~633457300363584877,2,2024-01-15T16:43:14.000+0000,2024-01-15T16:43:18.000+0000,False,42
CLK_1a90ad3f09074eb4,178.221.166.50.4413353456481963,DB313EEF-5F1F-4484-BCBD-FB812B9D7FAF,~365474849911471421,4,2024-01-15T06:00:35.000+0000,2024-01-15T06:00:36.000+0000,False,44
CLK_1cfde489c0944e50,88.29.158.18.1525231383716459,D7ED933A-AD13-4535-9952-C0048966AF81,~697968477332656152,2,2024-01-15T00:40:39.000+0000,2024-01-15T00:40:42.000+0000,False,38
CLK_3329a0c4c54d4688,98.178.112.10.5518516531252438,29697FBD-20E8-429A-A755-A597C089B974,~306374057583245916,4,2024-01-15T11:47:15.000+0000,2024-01-15T11:47:18.000+0000,False,29
CLK_1982d8193bda401c,54.55.114.47.2869710607256063,0F823CEF-8597-4FFB-84F8-6EC29BC78642,~753608504712983352,4,2024-01-15T05:16:15.000+0000,2024-01-15T05:16:16.000+0000,False,3
CLK_4e90be26a4e24961,183.183.164.230.6572415069303488,94C7EAB8-AFDA-4E5E-822A-DFC8165733F3,~926275785385270041,9,2024-01-15T17:36:26.000+0000,2024-01-15T17:36:27.000+0000,False,24
CLK_743d6c52c36d4694,180.192.122.59.4034048133606968,BD7507C3-36C3-4406-913B-388D57A40C9C,~365474849911471421,3,2024-01-15T00:43:36.000+0000,2024-01-15T00:43:39.000+0000,False,45
CLK_e22a48b7b8d34ab0,112.108.116.218.5813156693594853,5A8C5AA4-D7A2-4F65-A5FC-DD320A97ECAA,~345100575194069253,9,2024-01-15T05:35:26.000+0000,2024-01-15T05:35:29.000+0000,False,44
CLK_96504b652ecf4335,60.98.11.180.7254036549647255,1604BD88-A282-4696-88B5-9698219860E1,~907607906474056157,1,2024-01-15T03:39:13.000+0000,2024-01-15T03:39:15.000+0000,False,6
CLK_b5ade3d4ddbd4c6c,46.89.168.11.3969653694250819,FBBB1383-0041-4A88-B2E3-EC1F5299F7F2,~819330391008835362,6,2024-01-15T14:49:15.000+0000,2024-01-15T14:49:20.000+0000,False,25
CLK_a8a062a7ee51466c,178.221.166.50.4413353456481963,B36CD7DB-766B-479A-9310-A56037F5C9EB,~940515544603651759,2,2024-01-15T16:04:38.000+0000,2024-01-15T16:04:43.000+0000,False,38
CLK_f6845850ba7f4ae8,89.228.177.67.7484883732092691,E45CEF65-F6E7-44CB-87A1-CCB4BC5D9F2E,~926275785385270041,1,2024-01-15T11:34:44.000+0000,2024-01-15T11:34:46.000+0000,False,28
CLK_992b1202a0ea4792,92.211.132.146.9375169593996057,181E3BF6-1BDF-4381-BAE8-7A68AB74BE92,~199818191433716728,4,2024-01-15T01:33:21.000+0000,2024-01-15T01:33:26.000+0000,False,24
CLK_98f3b764891e49d2,88.29.158.18.1525231383716459,FC8150B3-9FB6-4C2F-9FC4-DDEC79FD8FA6,~711985265972524932,5,2024-01-15T15:00:34.000+0000,2024-01-15T15:00:37.000+0000,False,29
CLK_18b8b3e5f3064cfe,33.56.235.19.4359647642425608,B813B70C-AC14-4290-8389-3F4B7823E6CC,~743274789430450381,8,2024-01-15T22:51:37.000+0000,2024-01-15T22:51:40.000+0000,False,19
CLK_38a7768d7d284e26,73.108.85.122.9638732943144612,0B7CAA9F-DA3F-4D45-B9E8-29FBB8890971,~711985265972524932,4,2024-01-15T14:04:17.000+0000,2024-01-15T14:04:20.000+0000,False,42
CLK_1621e7911a334aff,73.108.85.122.9638732943144612,D51F5F89-BC85-4C07-9DC4-2EF1C3F5E53F,~697968477332656152,7,2024-01-15T08:43:06.000+0000,2024-01-15T08:43:10.000+0000,False,20
CLK_860d770c86564150,199.116.129.153.6638297907996333,3DD511E6-A799-407D-8CEF-0C2646F3E694,~328370574705313521,4,2024-01-15T06:53:31.000+0000,2024-01-15T06:53:32.000+0000,False,11
CLK_45545a87572b4eca,123.248.62.77.8669199898066131,569B065E-0AAA-411F-8A31-4530C26DA489,~743274789430450381,4,2024-01-15T02:10:17.000+0000,2024-01-15T02:10:21.000+0000,False,38
CLK_2b9ba878eb394485,89.228.177.67.7484883732092691,D92A636B-73DE-456A-9B09-83DEFCF00F58,~711985265972524932,4,2024-01-15T19:33:34.000+0000,2024-01-15T19:33:39.000+0000,False,19
CLK_ddd2c1680c7d4af2,113.221.205.42.9478949861700086,0AA189D0-0B9B-45E6-B12F-9961A72A7437,~791106233590490366,6,2024-01-15T10:45:28.000+0000,2024-01-15T10:45:32.000+0000,False,19
CLK_0f9eaa12f40946cd,44.143.113.61.8090612618948995,5723F0A9-C4DF-4D84-81D2-84B6790FA3E4,~365474849911471421,3,2024-01-15T14:38:11.000+0000,2024-01-15T14:38:13.000+0000,False,12
CLK_a49cdd039be843f0,46.89.168.11.3969653694250819,CB1BAD99-10B5-49F3-8DD4-A06BE4E126EB,~880963109817413971,9,2024-01-15T06:12:27.000+0000,2024-01-15T06:12:32.000+0000,False,32
CLK_bf4bb5748b8e4498,168.206.171.222.6457807207416907,D562EC90-B3E4-4AB5-B7D7-EAEAD4D876DD,~193174997044464337,5,2024-01-15T23:04:36.000+0000,2024-01-15T23:04:38.000+0000,False,31
CLK_d611441581c845b3,114.41.34.40.3665895407587144,6A840713-2B06-4B60-A40F-064C3EC0BF86,~926275785385270041,1,2024-01-15T13:03:14.000+0000,2024-01-15T13:03:19.000+0000,False,31
CLK_0876f844e96d4fd1,60.98.11.180.7254036549647255,E8D5F127-9D33-4E3C-B607-E5761A350F7E,~697968477332656152,3,2024-01-15T08:14:09.000+0000,2024-01-15T08:14:14.000+0000,False,6
CLK_5ea01d34bd8548d7,88.29.158.18.1525231383716459,BA8BD524-711E-41A5-A806-B2340FCEEB4C,~632054008047310927,7,2024-01-15T08:01:41.000+0000,2024-01-15T08:01:45.000+0000,False,44
CLK_b5c30a120cfc4330,75.120.235.84.9719996549726992,D721198C-B000-4427-87C8-783B08A3552B,~193174997044464337,7,2024-01-15T13:18:38.000+0000,2024-01-15T13:18:42.000+0000,False,36
CLK_0cd6d71aa6944d57,168.206.171.222.6457807207416907,F9813606-D7B2-4498-A9CD-E4A99BC2472B,~201229071073273427,2,2024-01-15T08:30:00.000+0000,2024-01-15T08:30:02.000+0000,False,12
CLK_1a43d66228e1428c,98.178.112.10.5518516531252438,6D02A26D-F8BA-4CF8-BF08-7E4081737B40,~253620329726030318,1,2024-01-15T09:00:00.000+0000,2024-01-15T09:00:02.000+0000,False,8
CLK_1a43d66228e1428c,168.206.171.222.6457807207416907,D1A7BB0F-3E21-4970-9CBD-F3B33B96B5F9,~940515544603651759,1,2024-01-15T09:00:00.000+0000,2024-01-15T09:00:02.000+0000,False,8
CLK_9d77c2ba366347c9,89.37.233.186.3827654944355096,504E83EF-2893-4A0A-A628-DF1405F8DD0C,~365474849911471421,3,2024-01-15T10:00:00.000+0000,2024-01-15T10:00:02.000+0000,False,-5
CLK_373c2ee3cd3547b7,83.61.199.15.1947121891165237,A1C9C09B-086A-40D9-AB7E-1BC76D9E9FFB,~195652715593206219,1,2024-01-15T10:05:00.000+0000,2024-01-15T10:05:02.000+0000,False,7200
CLK_ab0a383074204637,153.91.207.137.3106839504746820,227873EA-897E-46BF-8FC2-9016CBA08833,,2,2024-01-15T11:00:00.000+0000,2024-01-15T11:00:02.000+0000,False,15
CLK_84d4aa540d5143d1,30.235.122.117.9175452912617543,8FBF4A43-E202-4DD6-9A4D-81818D2FD399,~633457300363584877,4,2024-01-15T11:05:00.000+0000,2024-01-15T11:05:02.000+0000,True,1
