search_guid,visitor_id,search_query,sublocation,sort,page,event_ts
9F0254C6-8E5E-4B0E-AAEC-AD95B078F7A7,113.221.205.42.9478949861700086,react developer,search_results,relevance,10,2024-01-15T19:33:00.000+0000
F5440015-5174-4C06-910F-9CB16CCC7F17,112.108.116.218.5813156693594853,data engineer,featured_jobs,relevance,7,2024-01-15T05:43:00.000+0000
F982434F-9331-41F2-8D95-0A37AC4DCBEB,182.201.52.140.8257931165554636,data scientist,featured_jobs,recency,9,2024-01-15T17:53:00.000+0000
0AA189D0-0B9B-45E6-B12F-9961A72A7437,113.221.205.42.9478949861700086,machine learning engineer,search_results,recency,5,2024-01-15T10:45:00.000+0000
0C1D1B39-F5D9-4ACE-A8EA-54EC511FA084,24.173.64.123.5913164520032732,scala developer,search_results,recency,3,2024-01-15T12:26:00.000+0000
5033CB69-57F3-4E1A-81C7-C6137558CAFC,75.40.229.220.2674905654954640,spark engineer,search_results,relevance,7,2024-01-15T02:40:00.000+0000
DB313EEF-5F1F-4484-BCBD-FB812B9D7FAF,178.221.166.50.4413353456481963,python developer,search_results,recency,6,2024-01-15T06:00:00.000+0000
70124117-D1CF-471D-B20F-03CE86660E13,33.56.235.19.4359647642425608,spark engineer,search_results,recency,10,2024-01-15T19:03:00.000+0000
3EDB9592-5D12-40E6-8F87-87802ACD0F2E,178.221.166.50.4413353456481963,data scientist,search_results,recency,5,2024-01-15T01:08:00.000+0000
7C794DC1-FB61-4E5B-8EC3-9ABE3343C474,89.37.233.186.3827654944355096,spark engineer,search_results,recency,10,2024-01-15T17:49:00.000+0000
BA8BD524-711E-41A5-A806-B2340FCEEB4C,88.29.158.18.1525231383716459,scala developer,search_results,relevance,2,2024-01-15T08:01:00.000+0000
D3FD819A-565A-439F-897A-FAFE041E9AC3,123.248.62.77.8669199898066131,data engineer,featured_jobs,relevance,5,2024-01-15T16:43:00.000+0000
D7ED933A-AD13-4535-9952-C0048966AF81,88.29.158.18.1525231383716459,data engineer,search_results,recency,1,2024-01-15T00:40:00.000+0000
F030CAB5-F2C2-4D2F-8484-F1DF66B61532,30.235.122.117.9175452912617543,machine learning engineer,search_results,recency,4,2024-01-15T06:02:00.000+0000
7123AADB-2424-4D59-A0D6-C8A3EEA2B7FB,180.192.122.59.4034048133606968,data engineer,search_results,relevance,5,2024-01-15T09:21:00.000+0000
7FE5ABC8-0EF3-4303-AA6F-4C48E23B132C,114.41.34.40.3665895407587144,python developer,search_results,recency,10,2024-01-15T15:17:00.000+0000
23A3DF2F-2802-432C-A61F-606A8B0BF281,146.61.10.143.9555958439458102,scala developer,search_results,relevance,3,2024-01-15T07:50:00.000+0000
039765DE-BEA9-4197-B5D7-8A498D5A58E1,92.211.132.146.9375169593996057,full stack developer,featured_jobs,recency,9,2024-01-15T02:48:00.000+0000
E8D5F127-9D33-4E3C-B607-E5761A350F7E,60.98.11.180.7254036549647255,data engineer,search_results,relevance,7,2024-01-15T08:14:00.000+0000
3C880B4A-EC8B-46DD-963D-E1BA54472FF0,22.96.65.106.4033210697775349,data engineer,search_results,recency,3,2024-01-15T21:02:00.000+0000
BD3D6D9B-EB8F-4CCF-958A-0627E3A2B3CC,30.235.122.117.9175452912617543,python developer,search_results,recency,4,2024-01-15T21:02:00.000+0000
5A8C5AA4-D7A2-4F65-A5FC-DD320A97ECAA,112.108.116.218.5813156693594853,spark engineer,search_results,recency,3,2024-01-15T05:35:00.000+0000
181E3BF6-1BDF-4381-BAE8-7A68AB74BE92,92.211.132.146.9375169593996057,data scientist,search_results,recency,3,2024-01-15T01:33:00.000+0000
5AC8316E-69A8-4261-9BF4-61D73CB0BCAB,123.248.62.77.8669199898066131,spark engineer,search_results,recency,9,2024-01-15T18:44:00.000+0000
5723F0A9-C4DF-4D84-81D2-84B6790FA3E4,44.143.113.61.8090612618948995,spark engineer,featured_jobs,relevance,7,2024-01-15T14:38:00.000+0000
C09FC497-C6E7-4F4D-9AE5-724001050575,123.248.62.77.8669199898066131,data scientist,search_results,recency,7,2024-01-15T23:14:00.000+0000
676B0275-99CB-4C1E-9559-33D99E1801E5,117.30.249.118.1774789044877091,spark engineer,featured_jobs,recency,7,2024-01-15T04:25:00.000+0000
FBBB1383-0041-4A88-B2E3-EC1F5299F7F2,46.89.168.11.3969653694250819,data scientist,featured_jobs,recency,9,2024-01-15T14:49:00.000+0000
8CB97DEA-ECF1-4C98-9E4A-7BC2B8D5D4D8,178.221.166.50.4413353456481963,data engineer,search_results,recency,6,2024-01-15T17:19:00.000+0000
BC7B0188-10A5-4B08-9136-E41E29A1F1AC,54.55.114.47.2869710607256063,devops engineer,featured_jobs,recency,2,2024-01-15T15:23:00.000+0000
78F63D02-4941-4ABB-A6CE-63AC44ECC204,182.201.52.140.8257931165554636,devops engineer,featured_jobs,recency,8,2024-01-15T09:50:00.000+0000
58193F77-86D4-4EA8-9B08-5E08C6720F96,88.29.158.18.1525231383716459,python developer,search_results,recency,1,2024-01-15T11:53:00.000+0000
3C3BB3DD-0063-44E4-AFDB-D9C4AB4C12F0,153.91.207.137.3106839504746820,python developer,featured_jobs,recency,6,2024-01-15T08:53:00.000+0000
D51F5F89-BC85-4C07-9DC4-2EF1C3F5E53F,73.108.85.122.9638732943144612,devops engineer,search_results,relevance,1,2024-01-15T08:43:00.000+0000
C345B1CA-94A0-4EF3-8849-6D72C40F0C96,183.183.164.230.6572415069303488,spark engineer,search_results,relevance,7,2024-01-15T09:28:00.000+0000
BCD9B7BB-E09F-4658-A976-CC7201F29E23,200.202.231.190.4677150128525937,spark engineer,featured_jobs,recency,3,2024-01-15T17:04:00.000+0000
F8EBF81D-CD68-4483-B7F1-5FF356CA4E1C,183.183.164.230.6572415069303488,spark engineer,search_results,recency,7,2024-01-15T08:26:00.000+0000
B36CD7DB-766B-479A-9310-A56037F5C9EB,178.221.166.50.4413353456481963,react developer,featured_jobs,relevance,4,2024-01-15T16:04:00.000+0000
019DCE6B-9463-4AC5-8C8B-AED5017F66DA,112.108.116.218.5813156693594853,scala developer,search_results,recency,8,2024-01-15T14:49:00.000+0000
12254CBB-F592-4F61-B199-94CD07283467,89.37.233.186.3827654944355096,react developer,search_results,relevance,10,2024-01-15T23:26:00.000+0000
29697FBD-20E8-429A-A755-A597C089B974,98.178.112.10.5518516531252438,full stack developer,search_results,recency,10,2024-01-15T11:47:00.000+0000
C3EF9BCF-0626-4330-9015-494607517A20,117.30.249.118.1774789044877091,backend developer,search_results,recency,7,2024-01-15T20:05:00.000+0000
01DAF234-A689-4FDC-A3C5-426088F19B12,22.96.65.106.4033210697775349,react developer,search_results,recency,4,2024-01-15T07:29:00.000+0000
A426C8E2-AE6F-45DC-99B4-81846BFD821D,112.108.116.218.5813156693594853,machine learning engineer,featured_jobs,recency,9,2024-01-15T09:58:00.000+0000
11675322-3BAC-4761-A0C9-F24C6F5761BF,85.227.59.238.7015160388825155,data engineer,featured_jobs,recency,3,2024-01-15T23:05:00.000+0000
D0E4E490-962F-444B-9993-342CF5AAA810,75.27.138.85.7168203998699808,scala developer,search_results,relevance,8,2024-01-15T14:29:00.000+0000
D721198C-B000-4427-87C8-783B08A3552B,75.120.235.84.9719996549726992,python developer,search_results,recency,3,2024-01-15T13:18:00.000+0000
B0F8E7C9-4E22-443D-8AF2-4BB70B3035B2,88.29.158.18.1525231383716459,machine learning engineer,search_results,recency,5,2024-01-15T07:32:00.000+0000
