device_id,segment,affinity_score,income_band,age_band,source,valid_from,valid_to
d-0b08,Student,0.95,C2,18-24,Experian,2024-10-01,2024-12-31
d-0581,Student,0.87,D,35-44,Internal Model,2024-10-01,2024-12-31
d-1582,Student,0.8,A,25-34,Experian,2024-10-01,2024-12-31
d-1394,Families,0.96,B,18-24,Internal Model,2024-10-01,2024-12-31
d-1231,High Income,0.66,C1,25-34,Internal Model,2024-10-01,2024-12-31
d-0cd6,M25-40,0.52,C1,18-24,Internal Model,2024-10-01,2024-12-31
d-0a77,Student,0.5,B,25-34,SafeGraph Inferred,2024-10-01,2024-12-31
d-26cf,High Income,0.55,D,25-34,Internal Model,2024-10-01,2024-12-31
d-0978,Coffee Drinker,0.88,A,25-34,Internal Model,2024-10-01,2024-12-31
d-1ee8,Families,0.86,C2,35-44,Experian,2024-10-01,2024-12-31
d-05f0,Commuter,0.92,D,35-44,Experian,2024-10-01,2024-12-31
d-05d0,Shopper,0.68,C2,25-34,SafeGraph Inferred,2024-10-01,2024-12-31
d-09e7,M25-40,0.54,D,55+,Experian,2024-10-01,2024-12-31
d-11e6,M25-40,0.73,D,45-54,SafeGraph Inferred,2024-10-01,2024-12-31
d-12cb,M25-40,0.97,B,55+,Experian,2024-10-01,2024-12-31
d-243f,High Income,0.83,A,25-34,Experian,2024-10-01,2024-12-31
d-059a,Coffee Drinker,0.85,C2,55+,Experian,2024-10-01,2024-12-31
d-10a1,Commuter,0.62,C2,55+,Internal Model,2024-10-01,2024-12-31
d-26c8,M25-40,0.89,A,18-24,SafeGraph Inferred,2024-10-01,2024-12-31
d-1ec1,Coffee Drinker,0.83,C1,18-24,SafeGraph Inferred,2024-10-01,2024-12-31
d-1203,M25-40,0.49,A,35-44,Internal Model,2024-10-01,2024-12-31
d-20a7,Student,0.69,A,35-44,Experian,2024-10-01,2024-12-31
d-15b5,Families,0.69,B,25-34,SafeGraph Inferred,2024-10-01,2024-12-31
d-0452,M25-40,0.71,D,18-24,Experian,2024-10-01,2024-12-31
d-0e1f,Student,0.68,A,35-44,Internal Model,2024-10-01,2024-12-31
d-1ef4,Families,0.54,B,55+,Internal Model,2024-10-01,2024-12-31
d-19ae,Commuter,0.82,A,55+,Experian,2024-10-01,2024-12-31
d-15b0,Families,0.47,C2,55+,Experian,2024-10-01,2024-12-31
d-0ddb,Shopper,0.7,D,45-54,Internal Model,2024-10-01,2024-12-31
d-11af,Shopper,0.83,B,35-44,SafeGraph Inferred,2024-10-01,2024-12-31
d-1972,High Income,0.77,C2,55+,SafeGraph Inferred,2024-10-01,2024-12-31
d-0a72,High Income,0.54,A,35-44,Experian,2024-10-01,2024-12-31
d-09d7,Commuter,0.72,D,25-34,SafeGraph Inferred,2024-10-01,2024-12-31
d-1c38,Commuter,0.8,A,25-34,Experian,2024-10-01,2024-12-31
d-0a18,Commuter,0.89,A,55+,Experian,2024-10-01,2024-12-31
d-1ae1,Shopper,0.78,B,55+,Internal Model,2024-10-01,2024-12-31
d-19eb,Shopper,0.93,D,55+,SafeGraph Inferred,2024-10-01,2024-12-31
d-14d5,High Income,0.85,C2,25-34,Experian,2024-10-01,2024-12-31
d-06af,Commuter,0.78,C1,45-54,Experian,2024-10-01,2024-12-31
d-214f,High Income,0.89,A,18-24,Internal Model,2024-10-01,2024-12-31
d-4f9a,Commuter,0.91,B,25-34,Experian,2024-10-01,2024-12-31
d-4f9a,M25-40,0.78,B,25-34,Internal Model,2024-10-01,2024-12-31
d-7c2b,Shopper,0.83,C1,35-44,Experian,2024-06-01,2024-09-30
