campaign_id,frame_id,booked_from,booked_to,bought_price_gbp,format_served,is_active
CMP_001,FRM_A01,2024-11-04 00:00,2024-11-17 23:59,4000,mcdonalds_saver_v1,True
CMP_001,FRM_C01,2024-11-04 00:00,2024-11-17 23:59,2800,mcdonalds_saver_v1,True
CMP_001,FRM_D01,2024-11-04 00:00,2024-11-17 23:59,3400,mcdonalds_saver_v2,True
CMP_001,FRM_E01,2024-11-04 00:00,2024-11-17 23:59,2600,mcdonalds_saver_v1,True
CMP_002,FRM_A03,2024-11-01 00:00,2024-11-14 23:59,3000,starbucks_blonde_v1,True
CMP_002,FRM_B01,2024-11-01 00:00,2024-11-14 23:59,3700,starbucks_blonde_v1,True
CMP_002,FRM_G01,2024-11-01 00:00,2024-11-14 23:59,4400,starbucks_blonde_v2,True
CMP_003,FRM_H01,2024-11-05 00:00,2024-11-18 23:59,2500,nike_react_v1,True
CMP_003,FRM_M01,2024-11-05 00:00,2024-11-18 23:59,3800,nike_react_v1,True
CMP_003,FRM_P01,2024-11-05 00:00,2024-11-18 23:59,3500,nike_react_v2,True
CMP_004,FRM_J01,2024-10-28 00:00,2024-11-10 23:59,620,spotify_student_v1,False
CMP_004,FRM_K01,2024-10-28 00:00,2024-11-10 23:59,2100,spotify_student_v1,False
CMP_005,FRM_A01,2024-11-01 00:00,2024-11-30 23:59,4100,hsbc_premier_v1,True
CMP_005,FRM_D01,2024-11-01 00:00,2024-11-30 23:59,3400,hsbc_premier_v1,True
CMP_005,FRM_F01,2024-11-01 00:00,2024-11-30 23:59,3100,hsbc_premier_v2,True
CMP_005,FRM_U01,2024-11-01 00:00,2024-11-30 23:59,3200,hsbc_premier_v1,True
CMP_006,FRM_C01,2024-10-01 00:00,2024-12-31 23:59,2700,tfl_v1,True
CMP_006,FRM_E01,2024-10-01 00:00,2024-12-31 23:59,2500,tfl_v1,True
CMP_006,FRM_H01,2024-10-01 00:00,2024-12-31 23:59,2400,tfl_v1,True
CMP_006,FRM_N01,2024-10-01 00:00,2024-12-31 23:59,2400,tfl_v1,True
CMP_007,FRM_B01,2024-11-05 00:00,2024-11-19 23:59,3700,amazon_v1,True
CMP_007,FRM_G02,2024-11-05 00:00,2024-11-19 23:59,2700,amazon_v1,True
CMP_007,FRM_Q01,2024-11-05 00:00,2024-11-19 23:59,2300,amazon_v2,True
CMP_008,FRM_O01,2024-11-05 00:00,2024-11-12 23:59,580,deliveroo_v1,False
CMP_008,FRM_T01,2024-11-05 00:00,2024-11-12 23:59,1000,deliveroo_v1,False
CMP_009,FRM_A01,2024-11-01 00:00,2024-11-28 23:59,4000,barclays_v1,True
CMP_009,FRM_D01,2024-11-01 00:00,2024-11-28 23:59,3400,barclays_v1,True
CMP_009,FRM_F01,2024-11-01 00:00,2024-11-28 23:59,3100,barclays_v2,True
CMP_010,FRM_B02,2024-10-21 00:00,2024-11-04 23:59,1150,heineken_v1,False
CMP_010,FRM_G01,2024-10-21 00:00,2024-11-04 23:59,4300,heineken_v1,False
CMP_010,FRM_S01,2024-10-21 00:00,2024-11-04 23:59,2000,heineken_v2,False
