poi_id,poi_name,category,lat,lng,city,geofence_radius_m
POI_001,Piccadilly Circus Station,transport,51.51,-0.134,London,80
POI_002,Oxford Street East,retail,51.5154,-0.1408,London,100
POI_003,Waterloo Station,transport,51.5031,-0.1132,London,120
POI_004,Canary Wharf Station,transport,51.5051,-0.0209,London,90
POI_005,Victoria Station,transport,51.4952,-0.1439,London,110
POI_006,London Bridge Station,transport,51.5048,-0.0864,London,95
POI_007,Westfield Stratford,retail,51.543,-0.0058,London,200
POI_008,King's Cross Station,transport,51.532,-0.1233,London,130
POI_009,Piccadilly Circus Billboard,outdoor,51.5099,-0.1342,London,85
POI_010,Shoreditch High Street,retail,51.5228,-0.0728,London,75
POI_011,Camden Market,retail,51.5416,-0.1466,London,90
POI_012,Brixton Station,transport,51.4627,-0.1145,London,70
POI_013,Paddington Station,transport,51.5154,-0.1755,London,115
POI_014,Euston Station,transport,51.5282,-0.1337,London,100
POI_015,Aldgate East Hoarding,,51.5147,-0.0693,London,60
POI_016,Liverpool Street Station,transport,51.5179,-0.0823,London,105
POI_017,Elephant and Castle,transport,51.4942,-0.1001,London,80
POI_018,Hammersmith Broadway,retail,51.4927,-0.2236,London,90
POI_019,Tottenham Court Road,transport,51.5165,-0.1304,London,85
POI_020,Bank Station,transport,51.5133,-0.0886,London,75
