location_id,device_id,lat,lng,recorded_at,ingested_at,accuracy_metres,source
LOC_00001,d-1394,51.543137,-0.00562,2024-11-05 06:27:00,2024-11-05 06:28:00,17,Location Sciences
LOC_00002,d-15b0,51.502967,-0.11335,2024-11-05 09:56:00,2024-11-05 09:57:00,40,Internal GPS
LOC_00003,d-0a18,51.510281,-0.133744,2024-11-05 09:37:00,2024-11-05 09:38:00,31,Location Sciences
LOC_00004,d-1ef4,51.509799,-0.134299,2024-11-05 07:39:00,2024-11-05 07:40:00,34,Internal GPS
LOC_00005,d-1ae1,51.531793,-0.123422,2024-11-05 06:14:00,2024-11-05 06:15:00,39,SafeGraph
LOC_00006,d-1394,51.510051,-0.133998,2024-11-05 09:38:00,2024-11-05 09:39:00,,Location Sciences
LOC_00007,d-05d0,51.515457,-0.140695,2024-11-05 07:00:00,2024-11-05 07:01:00,41,Internal GPS
LOC_00008,d-1582,51.522549,-0.072706,2024-11-05 08:24:00,2024-11-05 08:25:00,21,Internal GPS
LOC_00009,d-1203,51.504959,-0.021121,2024-11-05 08:45:00,2024-11-05 08:46:00,,Location Sciences
LOC_00010,d-0b08,51.532073,-0.123262,2024-11-05 06:25:00,2024-11-05 06:26:00,18,Location Sciences
LOC_00011,d-15b5,51.515628,-0.140878,2024-11-05 06:40:00,2024-11-05 06:41:00,39,Internal GPS
LOC_00012,d-1c38,51.510101,-0.133967,2024-11-05 09:58:00,2024-11-05 10:03:00,13,Location Sciences
LOC_00013,d-1ae1,51.502963,-0.113137,2024-11-05 09:03:00,2024-11-05 09:04:00,48,SafeGraph
LOC_00014,d-09d7,51.531851,-0.123055,2024-11-05 06:13:00,2024-11-05 06:14:00,32,Location Sciences
LOC_00015,d-0b08,51.504963,-0.086318,2024-11-05 07:07:00,2024-11-05 07:08:00,33,SafeGraph
LOC_00016,d-1ae1,51.509767,-0.133733,2024-11-05 08:56:00,2024-11-05 09:11:00,39,SafeGraph
LOC_00017,d-14d5,51.509689,-0.134424,2024-11-05 07:18:00,2024-11-05 07:19:00,7,Location Sciences
LOC_00018,d-243f,51.515312,-0.140764,2024-11-05 09:43:00,2024-11-05 09:44:00,44,Location Sciences
LOC_00019,d-05f0,51.503329,-0.113485,2024-11-05 09:08:00,2024-11-05 09:23:00,31,Internal GPS
LOC_00020,d-243f,51.494996,-0.143779,2024-11-05 07:37:00,2024-11-05 07:52:00,35,SafeGraph
LOC_00021,d-15b5,51.495392,-0.143677,2024-11-05 06:57:00,2024-11-05 06:58:00,17,SafeGraph
LOC_00022,d-1231,51.495111,-0.143894,2024-11-05 08:53:00,2024-11-05 14:53:00,39,Location Sciences
LOC_00023,d-26cf,51.495007,-0.143622,2024-11-05 07:07:00,2024-11-05 07:08:00,43,Internal GPS
LOC_00024,d-1203,51.543064,-0.005793,2024-11-05 07:38:00,2024-11-05 07:53:00,17,Internal GPS
LOC_00025,d-15b0,51.510012,-0.133816,2024-11-05 08:55:00,2024-11-05 09:00:00,47,SafeGraph
LOC_00026,d-1231,51.504874,-0.086302,2024-11-05 06:31:00,2024-11-05 06:36:00,24,Internal GPS
LOC_00027,d-19ae,51.504741,-0.086523,2024-11-05 06:32:00,2024-11-05 06:33:00,,Internal GPS
LOC_00028,d-05d0,51.522841,-0.072856,2024-11-05 09:33:00,2024-11-05 09:34:00,23,Internal GPS
LOC_00029,d-06af,51.504779,-0.086435,2024-11-05 06:54:00,2024-11-05 06:55:00,15,SafeGraph
LOC_00030,d-09d7,51.522701,-0.072609,2024-11-05 09:12:00,2024-11-05 09:13:00,24,Location Sciences
LOC_00031,d-1ee8,51.509728,-0.13371,2024-11-05 08:36:00,2024-11-05 08:51:00,9,Internal GPS
LOC_00032,d-19eb,51.505231,-0.02097,2024-11-05 07:42:00,2024-11-05 07:43:00,46,Location Sciences
LOC_00033,d-15b0,51.504906,-0.020625,2024-11-05 08:12:00,2024-11-05 08:13:00,40,Location Sciences
LOC_00034,d-11af,51.503281,-0.113099,2024-11-05 08:23:00,2024-11-05 08:24:00,33,Internal GPS
LOC_00035,d-09d7,51.543198,-0.005771,2024-11-05 09:49:00,2024-11-05 09:50:00,35,Location Sciences
LOC_00036,d-10a1,51.509891,-0.134356,2024-11-05 07:52:00,2024-11-05 07:53:00,23,SafeGraph
LOC_00037,d-1203,51.509648,-0.13441,2024-11-05 07:38:00,2024-11-05 07:43:00,50,SafeGraph
LOC_00038,d-19ae,51.504826,-0.086451,2024-11-05 06:52:00,2024-11-05 07:07:00,29,Internal GPS
LOC_00039,d-0581,51.522728,-0.073096,2024-11-05 07:30:00,2024-11-05 07:31:00,29,SafeGraph
LOC_00040,d-0a18,51.51008,-0.133961,2024-11-05 08:04:00,2024-11-05 08:05:00,32,SafeGraph
